有價證券代號,有價證券名稱,市場別,產業別,公開發行/上市(櫃)/發行日
1583,程泰,上市,電機機械,2008/01/24
1587,吉茂,上市,汽車工業,2018/04/16
1589,永冠-KY,上市,電機機械,2012/04/27
1590,亞德客-KY,上市,電機機械,2010/12/13
1592,英瑞-KY,上市,汽車工業,2014/10/16
1597,直得,上市,電機機械,2020/12/23
1598,岱宇,上市,生技醫療業,2016/09/20
1603,華電,上市,電器電纜,1968/06/03
1604,聲寶,上市,電器電纜,1970/12/14
1605,華新,上市,電器電纜,1972/11/03
1608,華榮,上市,電器電纜,1988/07/11
1609,大亞,上市,電器電纜,1988/12/12
1611,中電,上市,電器電纜,1990/01/16
1612,宏泰,上市,電器電纜,1993/05/08
1614,三洋電,上市,電器電纜,1997/09/18
1615,大山,上市,電器電纜,2000/03/30
1616,億泰,上市,電器電纜,2000/09/11
1617,榮星,上市,電器電纜,2000/09/11
1618,合機,上市,電器電纜,2000/09/11
1626,艾美特-KY,上市,電器電纜,2013/03/21
1701,中化,上市,生技醫療業,1962/02/09
1702,南僑,上市,食品工業,1973/05/30
1707,葡萄王,上市,生技醫療業,1982/12/20
1708,東鹼,上市,化學工業,1986/06/16
1709,和益,上市,化學工業,1986/07/03
1710,東聯,上市,化學工業,1987/10/21
1711,永光,上市,化學工業,1988/12/27
1712,興農,上市,化學工業,1989/12/14
1713,國化,上市,化學工業,1990/01/31
1714,和桐,上市,化學工業,1991/08/30
1717,長興,上市,化學工業,1994/03/31
1718,中纖,上市,化學工業,1963/12/02
1720,生達,上市,生技醫療業,1995/12/12
1721,三晃,上市,化學工業,1996/05/16
1722,台肥,上市,化學工業,1998/03/24
1723,中碳,上市,化學工業,1998/11/27
1724,台硝,上市,化學工業,1995/03/30
1725,元禎,上市,化學工業,2000/09/11
1726,永記,上市,化學工業,2000/09/11
1727,中華化,上市,化學工業,2000/09/11
1730,花仙子,上市,化學工業,2001/09/17
1731,美吾華,上市,生技醫療業,2001/09/17
1732,毛寶,上市,化學工業,2001/09/17
1733,五鼎,上市,生技醫療業,2001/09/17
1734,杏輝,上市,生技醫療業,2002/08/26
1735,日勝化,上市,化學工業,2002/08/26
1736,喬山,上市,生技醫療業,2003/01/09
1737,臺鹽,上市,食品工業,2003/11/18
1760,寶齡富錦,上市,生技醫療業,2018/01/23
1762,中化生,上市,生技醫療業,2010/12/20
1773,勝一,上市,化學工業,2009/02/27
1776,展宇,上市,化學工業,2016/05/09
1783,和康生,上市,生技醫療業,2013/12/20
1786,科妍,上市,生技醫療業,2013/11/12
1789,神隆,上市,生技醫療業,2011/09/29
1795,美時,上市,生技醫療業,2019/12/16
1802,台玻,上市,玻璃陶瓷,1973/07/20
1805,寶徠,上市,建材營造業,1989/10/20
1806,冠軍,上市,玻璃陶瓷,1992/09/29
1808,潤隆,上市,建材營造業,1994/10/26
1809,中釉,上市,玻璃陶瓷,1996/04/30
1810,和成,上市,玻璃陶瓷,1991/10/14
1817,凱撒衛,上市,玻璃陶瓷,2013/10/24
1903,士紙,上市,造紙工業,1963/12/09
1904,正隆,上市,造紙工業,1971/09/10
1905,華紙,上市,造紙工業,1975/02/07
1906,寶隆,上市,造紙工業,1976/04/26
1907,永豐餘,上市,造紙工業,1977/02/22
1909,榮成,上市,造紙工業,1985/11/19
2002,中鋼,上市,鋼鐵工業,1974/12/26
2006,東和鋼鐵,上市,鋼鐵工業,1988/07/13
2007,燁興,上市,鋼鐵工業,1988/10/04
2008,高興昌,上市,鋼鐵工業,1988/12/28
2009,第一銅,上市,鋼鐵工業,1989/10/20
2010,春源,上市,鋼鐵工業,1989/12/22
2012,春雨,上市,鋼鐵工業,1991/10/17
2013,中鋼構,上市,鋼鐵工業,1992/01/21
2014,中鴻,上市,鋼鐵工業,1992/02/20
2015,豐興,上市,鋼鐵工業,1992/05/25
2017,官田鋼,上市,鋼鐵工業,1992/11/02
2020,美亞,上市,鋼鐵工業,1993/04/27
2022,聚亨,上市,鋼鐵工業,1995/03/27
2023,燁輝,上市,鋼鐵工業,1995/07/28
2024,志聯,上市,鋼鐵工業,1995/12/30
2025,千興,上市,鋼鐵工業,1996/02/08
2027,大成鋼,上市,鋼鐵工業,1996/10/24
2028,威致,上市,鋼鐵工業,1996/12/13
2029,盛餘,上市,鋼鐵工業,1997/01/11
2030,彰源,上市,鋼鐵工業,1998/12/24
2031,新光鋼,上市,鋼鐵工業,2000/09/11
2032,新鋼,上市,鋼鐵工業,2000/09/11
2033,佳大,上市,鋼鐵工業,2000/09/11
2034,允強,上市,鋼鐵工業,2001/09/17
2038,海光,上市,鋼鐵工業,2008/12/30
2049,上銀,上市,電機機械,2009/06/26
2059,川湖,上市,電子零組件業,2008/06/25
2062,橋椿,上市,其他業,2007/11/16
2069,運錩,上市,鋼鐵工業,2016/03/22
2101,南港,上市,橡膠工業,1963/11/01
2102,泰豐,上市,橡膠工業,1979/07/16
2103,台橡,上市,橡膠工業,1982/09/25
2104,國際中橡,上市,橡膠工業,1986/07/15
2105,正新,上市,橡膠工業,1987/12/07
2106,建大,上市,橡膠工業,1990/12/20
2107,厚生,上市,橡膠工業,1992/03/03
2108,南帝,上市,橡膠工業,1992/10/27
2109,華豐,上市,橡膠工業,2000/05/08
2114,鑫永銓,上市,橡膠工業,2010/12/29
2115,六暉-KY,上市,汽車工業,2013/12/25
2201,裕隆,上市,汽車工業,1976/07/08
2204,中華,上市,汽車工業,1991/03/12
2206,三陽工業,上市,汽車工業,1996/07/29
2207,和泰車,上市,汽車工業,1997/02/25
2208,台船,上市,航運業,2008/12/22
2227,裕日車,上市,汽車工業,2004/12/21
2228,劍麟,上市,汽車工業,2013/11/25
2231,為升,上市,汽車工業,2010/11/19
2233,宇隆,上市,汽車工業,2019/09/17
2236,百達-KY,上市,汽車工業,2015/06/03
2239,英利-KY,上市,汽車工業,2016/01/27
2241,艾姆勒,上市,電機機械,2020/08/26
2243,宏旭-KY,上市,汽車工業,2017/09/27
2247,汎德永業,上市,汽車工業,2020/10/12
2301,光寶科,上市,電腦及週邊設備業,1995/11/17
2302,麗正,上市,半導體業,1985/01/15
2303,聯電,上市,半導體業,1985/07/16
2305,全友,上市,電腦及週邊設備業,1988/10/21
2308,台達電,上市,電子零組件業,1988/12/19
2312,金寶,上市,其他電子業,1989/11/07
2313,華通,上市,電子零組件業,1990/07/24
2314,台揚,上市,通信網路業,1990/08/08
2316,楠梓電,上市,電子零組件業,1991/02/05
2317,鴻海,上市,其他電子業,1991/06/18
2321,東訊,上市,通信網路業,1991/11/08
2323,中環,上市,光電業,1992/02/17
2324,仁寶,上市,電腦及週邊設備業,1992/02/18
2327,國巨,上市,電子零組件業,1993/10/22
2328,廣宇,上市,電子零組件業,1993/11/09
2329,華泰,上市,半導體業,1994/04/20
2330,台積電,上市,半導體業,1994/09/05
2331,精英,上市,電腦及週邊設備業,1994/09/21
2332,友訊,上市,通信網路業,1994/10/17
2337,旺宏,上市,半導體業,1995/03/15
2338,光罩,上市,半導體業,1995/04/17
2340,光磊,上市,光電業,1995/05/02
2342,茂矽,上市,半導體業,1995/09/19
2344,華邦電,上市,半導體業,1995/10/18
2345,智邦,上市,通信網路業,1995/11/15
2347,聯強,上市,電子通路業,1995/12/13
2348,海悅,上市,其他業,1996/01/05
2349,錸德,上市,光電業,1996/04/23
2351,順德,上市,半導體業,1996/04/25
2352,佳世達,上市,電腦及週邊設備業,1996/07/22
2353,宏碁,上市,電腦及週邊設備業,1996/09/18
2354,鴻準,上市,其他電子業,1996/10/08
2355,敬鵬,上市,電子零組件業,1996/10/14
2356,英業達,上市,電腦及週邊設備業,1996/11/13
2357,華碩,上市,電腦及週邊設備業,1996/11/14
2358,廷鑫,上市,其他業,1996/12/18
2359,所羅門,上市,其他電子業,1996/12/19
2360,致茂,上市,其他電子業,1996/12/21
2362,藍天,上市,電腦及週邊設備業,1997/04/02
2363,矽統,上市,半導體業,1997/08/01
2364,倫飛,上市,電腦及週邊設備業,1997/08/11
2365,昆盈,上市,電腦及週邊設備業,1997/11/03
2367,燿華,上市,電子零組件業,1997/12/13
2368,金像電,上市,電子零組件業,1998/03/09
2369,菱生,上市,半導體業,1998/04/10
2371,大同,上市,電機機械,1962/02/09
2373,震旦行,上市,其他電子業,1991/08/01
2374,佳能,上市,光電業,1995/01/16
2375,凱美,上市,電子零組件業,1998/08/29
2376,技嘉,上市,電腦及週邊設備業,1998/09/24
2377,微星,上市,電腦及週邊設備業,1998/10/31
2379,瑞昱,上市,半導體業,1998/10/26
2380,虹光,上市,電腦及週邊設備業,1998/12/03
2382,廣達,上市,電腦及週邊設備業,1999/01/08
2383,台光電,上市,電子零組件業,1998/11/27
2385,群光,上市,電子零組件業,1999/01/05
2387,精元,上市,電腦及週邊設備業,1999/01/25
2388,威盛,上市,半導體業,1999/03/05
2390,云辰,上市,其他電子業,1999/06/15
2392,正崴,上市,電子零組件業,1999/09/20
2393,億光,上市,光電業,1999/11/04
2395,研華,上市,電腦及週邊設備業,1999/12/13
2397,友通,上市,電腦及週邊設備業,2000/01/15
2399,映泰,上市,電腦及週邊設備業,1999/12/16
2401,凌陽,上市,半導體業,2000/01/27
2402,毅嘉,上市,電子零組件業,2000/01/14
2404,漢唐,上市,其他電子業,2000/03/14
2405,浩鑫,上市,電腦及週邊設備業,2000/03/17
2406,國碩,上市,光電業,2000/04/29
2408,南亞科,上市,半導體業,2000/08/17
2409,友達,上市,光電業,2000/09/08
2412,中華電,上市,通信網路業,2000/10/27
2413,環科,上市,電子零組件業,2000/09/11
2414,精技,上市,電子通路業,2000/09/11
2415,錩新,上市,電子零組件業,2000/09/11
2417,圓剛,上市,電腦及週邊設備業,2000/09/11
2419,仲琦,上市,通信網路業,2000/09/11
2420,新巨,上市,電子零組件業,2000/09/11
2421,建準,上市,電子零組件業,2000/09/11
2423,固緯,上市,其他電子業,2000/09/11
2424,隴華,上市,電腦及週邊設備業,2000/09/11
2425,承啟,上市,電腦及週邊設備業,2000/09/11
2426,鼎元,上市,光電業,2000/09/11
2427,三商電,上市,資訊服務業,2000/09/11
2428,興勤,上市,電子零組件業,2000/09/11
2429,銘旺科,上市,電子零組件業,2000/09/11
2430,燦坤,上市,電子通路業,2000/09/11
2431,聯昌,上市,電子零組件業,2000/09/11
2433,互盛電,上市,其他電子業,2000/09/11
2434,統懋,上市,半導體業,2000/09/11
2436,偉詮電,上市,半導體業,2000/09/11
2438,翔耀,上市,光電業,2000/09/11
2439,美律,上市,通信網路業,2000/09/11
2440,太空梭,上市,電子零組件業,2000/11/10
2441,超豐,上市,半導體業,2000/10/26
2442,新美齊,上市,電腦及週邊設備業,2000/11/22
2443,億麗,上市,其他業,2001/01/03
2444,兆勁,上市,通信網路業,2000/12/08
2449,京元電子,上市,半導體業,2001/05/09
2450,神腦,上市,通信網路業,2001/05/24
2451,創見,上市,半導體業,2001/05/03
2453,凌群,上市,資訊服務業,2001/05/22
2454,聯發科,上市,半導體業,2001/07/23
2455,全新,上市,通信網路業,2002/01/24
2456,奇力新,上市,電子零組件業,2001/09/26
2457,飛宏,上市,電子零組件業,2001/09/17
2458,義隆,上市,半導體業,2001/09/17
2459,敦吉,上市,電子通路業,2001/09/17
2460,建通,上市,電子零組件業,2001/09/17
2461,光群雷,上市,其他電子業,2001/09/17
2462,良得電,上市,電子零組件業,2001/09/17
2464,盟立,上市,其他電子業,2001/09/17
2465,麗臺,上市,電腦及週邊設備業,2001/09/19
2466,冠西電,上市,光電業,2001/09/17
2467,志聖,上市,電子零組件業,2001/09/17
2468,華經,上市,資訊服務業,2001/09/17
2471,資通,上市,資訊服務業,2001/09/17
2472,立隆電,上市,電子零組件業,2001/09/17
2474,可成,上市,其他電子業,2001/09/17
2476,鉅祥,上市,電子零組件業,2001/09/17
2477,美隆電,上市,其他電子業,2001/09/17
2478,大毅,上市,電子零組件業,2001/09/17
2480,敦陽科,上市,資訊服務業,2001/09/17
2481,強茂,上市,半導體業,2001/09/17
